Region Index,Level_5,Level_4,Level_3,Level_2,Level_1
69,PCC_L,Cingulate_L,Limbic_L,CerebralCortex_L,Telencephalon_L
70,PCC_R,Cingulate_R,Limbic_R,CerebralCortex_R,Telencephalon_R
71,Insula_L,Insula_L,Insula_L,CerebralCortex_L,Telencephalon_L
72,Insula_R,Insula_R,Insula_R,CerebralCortex_R,Telencephalon_R
73,Amyg_L,Amyg_L,Limbic_L,CerebralNucli_L,Telencephalon_L
74,Amyg_R,Amyg_R,Limbic_R,CerebralNucli_R,Telencephalon_R
75,Hippo_L,Hippo_L,Limbic_L,CerebralCortex_L,Telencephalon_L
76,Hippo_R,Hippo_R,Limbic_R,CerebralCortex_R,Telencephalon_R
77,Caud_L,Caud_L,BasalGang_L,CerebralNucli_L,Telencephalon_L
78,Caud_R,Caud_R,BasalGang_R,CerebralNucli_R,Telencephalon_R
79,Put_L,Put_L,BasalGang_L,CerebralNucli_L,Telencephalon_L
80,Put_R,Put_R,BasalGang_R,CerebralNucli_R,Telencephalon_R
81,GP_L,GP_L,BasalGang_L,CerebralNucli_L,Telencephalon_L
82,GP_R,GP_R,BasalGang_R,CerebralNucli_R,Telencephalon_R
83,Thalamus_L,Thalamus_L,Thalamus_L,Thalamus_L,Diencephalon_L
84,Thalamus_R,Thalamus_R,Thalamus_R,Thalamus_R,Diencephalon_R
85,HypoThalamus_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
86,HypoThalamus_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
87,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
88,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
89,NucAccumbens_L,BasalForebrain_L,BasalGang_L,CerebralNucli_L,Telencephalon_L
90,NucAccumbens_R,BasalForebrain_R,BasalGang_R,CerebralNucli_R,Telencephalon_R
91,RedNc_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
92,RedNc_R,midbrain_R,midbrain_R,Mesencephalon_R,Mesencephalon
93,Snigra_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
94,Snigra_R,midbrain_R,midbrain_R,Mesencephalon_R,Mesencephalon
95,CerebellumGM_R,Cerebellum_R,Cerebellum_R,Metencephalon_R,Metencephalon
96,CerebellumGM_L,Cerebellum_L,Cerebellum_L,Metencephalon_L,Metencephalon
97,CP_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
98,CP_R,midbrain_R,midbrain_R,Mesencephalon_R,Mesencephalon
99,Midbrain_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
100,Midbrain_R,midbrain_R,midbrain_R,Mesencephalon_R,Mesencephalon
101,CST_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
102,CST_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
103,SCP_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
104,SCP_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
105,MCP_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
106,MCP_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
107,PCT_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
108,PCT_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
109,ICP_L,Medulla_L,Medulla_L,Myelencephalon_L,Myelencephalon
110,ICP_R,Medulla_R,Medulla_R,Myelencephalon_R,Myelencephalon
111,ML_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
112,ML_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
113,Pons_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
114,Pons_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
115,Medulla_L,Medulla_L,Medulla_L,Myelencephalon_L,Myelencephalon
116,Medulla_R,Medulla_R,Medulla_R,Myelencephalon_R,Myelencephalon
117,ACR_L,ant_DPWM_L,AnteriorWM_L,WhiteMatter_L,Telencephalon_L
118,ACR_R,ant_DPWM_R,AnteriorWM_R,WhiteMatter_R,Telencephalon_R
119,SCR_L,ant_DPWM_L,AnteriorWM_L,WhiteMatter_L,Telencephalon_L
120,SCR_R,ant_DPWM_R,AnteriorWM_R,WhiteMatter_R,Telencephalon_R
121,PCR_L,post_DPWM_L,PosteriorWM_L,WhiteMatter_L,Telencephalon_L
122,PCR_R,post_DPWM_R,PosteriorWM_R,WhiteMatter_R,Telencephalon_R
123,GCC_L,GCC_L,CorpusCallosum_L,WhiteMatter_L,Telencephalon_L
124,GCC_R,GCC_R,CorpusCallosum_R,WhiteMatter_R,Telencephalon_R
125,BCC_L,BCC_L,CorpusCallosum_L,WhiteMatter_L,Telencephalon_L
126,BCC_R,BCC_R,CorpusCallosum_R,WhiteMatter_R,Telencephalon_R
127,SCC_L,SCC_L,CorpusCallosum_L,WhiteMatter_L,Telencephalon_L
128,SCC_R,SCC_R,CorpusCallosum_R,WhiteMatter_R,Telencephalon_R
129,PVWl_L,PVA_posterior_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
130,PVWl_R,PVA_posterior_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
131,ALIC_L,ALIC_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
132,ALIC_R,ALIC_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
133,PLIC_L,PLIC_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
134,PLIC_R,PLIC_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
135,RLIC_L,inf_DPWM_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
136,RLIC_R,inf_DPWM_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
137,EC_L,inf_DPWM_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
138,EC_R,inf_DPWM_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
139,CGC_L,CGC_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
140,CGC_R,CGC_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
141,CGH_L,CGH_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
142,CGH_R,CGH_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
143,Fx/ST_L,Fx/ST_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
144,Fx/ST_R,Fx/ST_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
145,Fx_L,Fx_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
146,Fx_R,Fx_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
147,IFO_L,inf_DPWM_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
148,IFO_R,inf_DPWM_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
149,PTR_L,inf_DPWM_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
150,PTR_R,inf_DPWM_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
151,SS_L,inf_DPWM_L,InferiorWM_L,WhiteMatter_L,Telencephalon_L
152,SS_R,inf_DPWM_R,InferiorWM_R,WhiteMatter_R,Telencephalon_R
153,SFO_L,ant_DPWM_L,AnteriorWM_L,WhiteMatter_L,Telencephalon_L
154,SFO_R,ant_DPWM_R,AnteriorWM_R,WhiteMatter_R,Telencephalon_R
155,SLF_L,PeripheralParietalWM_L,PosteriorWM_L,WhiteMatter_L,Telencephalon_L
156,SLF_R,PeripheralParietalWM_R,PosteriorWM_R,WhiteMatter_R,Telencephalon_R
157,Cl_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
158,Cl_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
159,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
160,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
161,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
162,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
163,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
164,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
165,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
166,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
167,Mammillary_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,Diencephalon_R
168,Mammillary_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,Diencephalon_L
169,LV_Frontal_L,AnteriorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
170,LV_body_L,AnteriorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
171,LV_atrium_L,PosteriorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
172,LV_Occipital_L,PosteriorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
173,LV_Inferior_L,InferiorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
174,LV_Frontal_R,AnteriorLateralVentricle_L,LateralVentricle_R,Ventricle,CSF
